,項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI,出願日,count,month,year,FI_class,FI_subclass,FI_classJP,FI_subclassJP
34,35,特願2017-025009,特開2018-130046,"2017/02/14
2018/08/23
-",食品製品の提供方法,株式会社すなおネット,"A23L5/00@Z 
G06Q30/06,330 
G06Q50/04",2017-02-14,1,2,2017,"G06Q
A23L","A23L5/00@
G06Q30/06
G06Q50/04","['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']
['Ａ２１ＤまたはＡ２３ＢからＡ２３Ｊまでに包含されない食品，食料品，または非アルコール性飲料；その調製または処理，例．加熱調理，栄養改善，物理的処理（このサブクラスには完全に包含されない，食品の成形または加工Ａ２３Ｐ）；食品または食料品の保存一般（ベイキング用穀粉または生地の保存Ａ２１Ｄ）［４，８］']","[]
['購買，販売またはリース取引［２０１２．０１］']
['製造業［２０１２．０１］']"
35,36,特願2017-019468,特開2018-126802,"2017/02/06
2018/08/16
-",ワークの取り出し動作を改善するワーク取り出し装置およびワーク取り出し方法,ファナック株式会社,B25J13/08@A,2017-02-06,1,2,2017,B25J,B25J13/08,['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］'],['センサー手段，例．視覚または触覚装置，によるもの［４］']
36,37,特願2017-019313,特開2018-126798,"2017/02/06
2018/08/16
-",制御装置、ロボットおよびロボットシステム,セイコーエプソン株式会社,B25J13/08@Z,2017-02-06,1,2,2017,B25J,B25J13/08,['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］'],['センサー手段，例．視覚または触覚装置，によるもの［４］']
37,38,特願2017-019311,特開2018-126796,"2017/02/06
2018/08/16
-",制御装置、ロボットおよびロボットシステム,セイコーエプソン株式会社,B25J9/10@A,2017-02-06,1,2,2017,B25J,B25J9/10@,['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］'],[]
38,39,特願2017-015256,特開2018-123998,"2017/01/31
2018/08/09
-",空気調和システム,ダイキン工業株式会社,"F24F11/02,103@D 
F24F11/02,103@C 
F24F11/49 
他",2017-01-31,1,1,2017,"他
F24F","F24F11/02
F24F11/02
F24F11/49
他","[]
['空気調節；空気加湿；換気；しゃへいのためのエアカーテンの利用（発生場所からのじんあいまたは臭気の除去Ｂ０８Ｂ１５／００；建物から廃ガスを除去するための垂直ダクトＥ０４Ｆ１７／０２；煙突または通風軸（換気塔）の先端，煙道の末端Ｆ２３Ｌ１７／０２）']","[]
[]
['正しい動作の担保，例．試運転または系統検査によるもの［２０１８．０１］']
[]"
39,40,特願2017-238604,特開2018-116693,"2017/12/13
2018/07/26
-",動作に関する予測推論のモデルを求めるシステム及び方法、およびこれらのための非一時的コンピューター可読記憶媒体,三菱電機株式会社,"G06Q10/04 
G01M99/00@Z 
G06N99/00,153 
他",2017-12-13,1,12,2017,"他
G06Q
G06N
G01M","G06Q10/04
G01M99/00
G06N99/00
他","[]
['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']
['特定の計算モデルに基づくコンピュータ・システム［７］']
['機械または構造物の静的または動的つり合い試験；他に分類されない構造物または装置の試験']","['予測あるいは最適化，例．線形計画法，巡回セールスマン問題，板取問題［２０１２．０１］']
['このサブクラスの他のグループに分類されない主題事項［２０１１．０１］']
['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']
[]"
40,41,特願2018-003036,特開2018-116054,"2018/01/12
2018/07/26
-",触覚センサ、触覚測定装置、学習済みモデル、および識別装置,国立大学法人 香川大学,"G01B5/28,102 
G01L5/16 
G01N19/02@C",2018-01-12,1,1,2018,"G01L
G01N
G01B","G01B5/28
G01L5/16
G01N19/02","['力，応力，トルク，仕事，機械的動力，機械的効率，または流体圧力の測定（重量測定Ｇ０１Ｇ）［４］']
['材料の化学的または物理的性質の決定による材料の調査または分析（参照，免疫分析以外の酵素または微生物を含む測定または試験Ｃ１２Ｍ，Ｃ１２Ｑ）']
['長さ，厚さまたは同種の直線寸法の測定；角度の測定；面積の測定；表面または輪郭の不規則性の測定']","['表面の粗さまたは不規則性測定用']
['力の複数分力を測定するもの']
['材料間の摩擦係数の測定']"
41,42,特願2017-142215,特開2018-113014,"2017/07/21
2018/07/19
-",機械学習に基づくコンテキストアウェアなリダイレクションのためのシステムおよび方法、提供プログラム,富士ゼロックス株式会社,G06Q10/06,2017-07-21,1,7,2017,G06Q,G06Q10/06,['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］'],['資源，ワークフロー，人員またはプロジェクト管理，例．組織化，計画，スケジューリング，時間的，人的または物的資源の割り当て；事業計画；組織モデル［２０１２．０１］']
42,43,特願2017-002359,特開2018-112852,"2017/01/11
2018/07/19
-",故障予知方法、故障予知装置および故障予知プログラム,安川情報システム株式会社,G05B23/02@R,2017-01-11,1,1,2017,G05B,G05B23/02,['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）'],['電気式試験または監視']
43,44,特願2017-000316,特開2018-109882,"2017/01/05
2018/07/12
-",動作解析装置、動作解析方法およびプログラム,株式会社東芝,"G06N99/00,153 
G09B19/00@G 
G09B19/00@Z",2017-01-05,1,1,2017,"G09B
G06N","G06N99/00
G09B19/00
G09B19/00","['教育用または教示用の器具；盲人，聾者または唖者の教習，または意志を通じるための用具；模型；遊星儀；地球儀；地図；図表']
['特定の計算モデルに基づくコンピュータ・システム［７］']","['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']
['このサブクラスの他のメイングループに包含されない教習（銃の照準合せまたは照準定めの教習または訓練用具Ｆ４１Ｇ３／２６）']
['このサブクラスの他のメイングループに包含されない教習（銃の照準合せまたは照準定めの教習または訓練用具Ｆ４１Ｇ３／２６）']"
44,45,特願2016-255290,特開2018-107759,"2016/12/28
2018/07/05
-",画像処理装置、画像処理方法、及び画像処理システム,ソニーセミコンダクタソリューションズ株式会社,"H04N5/232@Z 
G06T3/40,710 
H04N5/335,430 
他",2016-12-28,1,12,2016,"他
H04N
G06T","H04N5/232
G06T3/40
H04N5/335
他","[]
['画像通信，例．テレビジョン［４］']
['イメージデータ処理または発生一般［６，８］']","['テレビジョンカメラを調整するための装置，例．遠隔制御（Ｈ０４Ｎ５／２３５が優先）［４］']
['全体のイメージまたはその部分の拡大縮小［６］']
['固体撮像素子を用いるもの（Ｈ０４Ｎ５／３２，Ｈ０４Ｎ５／３３が優先）［４，２０１１．０１］']
[]"
45,46,特願2017-131440,特開2018-098761,"2017/07/04
2018/06/21
-",信号処理装置,国立大学法人 筑波大学,"H04R1/10,104@Z 
A61B5/10,350 
A61B5/10,310@J 
他",2017-07-04,1,7,2017,"他
H04R
A61B","H04R1/10
A61B5/10
A61B5/10
他","[]
['スピーカ，マイクロホン，蓄音機ピックアップまたは類似の音響電気機械変換器；補聴器；パブリックアドレスシステム（供給周波数で決まらない周波数を有する音の生成Ｇ１０Ｋ）［６］']
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['受話器口；その付属物']
[]
[]
[]"
46,47,特願2016-242304,特開2018-097663,"2016/12/14
2018/06/21
-",制御システム、制御プログラムおよび制御方法,オムロン株式会社,"G05B9/03 
G05B23/02,302@R",2016-12-14,1,12,2016,G05B,"G05B9/03
G05B23/02",['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）'],"['多重チャンネルループ，すなわち．冗長制御系［２］']
['電気式試験または監視']"
47,48,特願2016-241355,特開2018-096834,"2016/12/13
2018/06/21
-",データ処理装置、データ処理方法、プログラム、および電子機器,ソニーセミコンダクタソリューションズ株式会社,"G01N21/27@A 
G01J3/51",2016-12-13,1,12,2016,"G01J
G01N","G01N21/27
G01J3/51","['赤外線，可視光線または紫外線の強度，速度，スペクトル，偏光，位相またはパルスの測定；色の測定；放射温度測定［２］']
['材料の化学的または物理的性質の決定による材料の調査または分析（参照，免疫分析以外の酵素または微生物を含む測定または試験Ｃ１２Ｍ，Ｃ１２Ｑ）']","['光電検出器を用いるもの（Ｇ０１Ｎ２１／３１が優先）［３］']
['色フィルターを用いるもの［４］']"
